Station;Lignes de métro;RER / Tram;Situation;Arrondissement / Localisation;Fréquentation annuelle;Dans le top 20 fréquenté
"Serge Gainsbourg";"11";"";"Souterraine";"Hors intra-muros (Les Lilas)";"0";"Non"
"Sèvres - Babylone";"10, 12";"";"Souterraine";"Paris 6e, Paris 7e";"3392504";"Non"
"Sèvres - Lecourbe";"6";"";"Aérienne";"Paris 15e";"1257040";"Non"
"Simplon";"4";"";"Souterraine";"Paris 18e";"2056501";"Non"
"Solférino";"12";"";"Souterraine";"Paris 7e";"1269143";"Non"
"Stalingrad";"2, 5, 7";"";": Aérienne  : Souterraine";"Paris 10e, Paris 19e";"4924583";"Non"
"Strasbourg - Saint-Denis";"4, 8, 9";"";"Souterraine";"Paris 2e, Paris 3e, Paris 10e";"6345770";"Oui"
"Sully - Morland";"7";"";"Souterraine";"Paris 4e";"1124169";"Non"
"Télégraphe";"11";"";"Souterraine";"Paris 19e, Paris 20e";"1636898";"Non"
"Temple";"3";"";"Souterraine";"Paris 3e";"891858";"Non"
"Ternes";"2";"";"Souterraine";"Paris 8e, Paris 17e";"2292256";"Non"
"Thiais - Orly";"14";"RER C";"Souterraine";"Hors intra-muros (Thiais)";"0";"Non"
"Tolbiac";"7";"";"Souterraine";"Paris 13e";"2287918";"Non"
"Trinité - d'Estienne d'Orves";"12";"";"Souterraine";"Paris 9e";"1051982";"Non"
"Trocadéro";"6, 9";"";"Souterraine";"Paris 16e";"5284134";"Non"
"Tuileries";"1";"";"Souterraine";"Paris 1er";"1859552";"Non"
"Vaneau";"10";"";"Souterraine";"Paris 7e";"725826";"Non"
"Varenne";"13";"";"Souterraine";"Paris 7e";"782697";"Non"
"Vaugirard";"12";"";"Souterraine";"Paris 15e";"2482886";"Non"
"Vavin";"4";"";"Souterraine";"Paris 6e, Paris 14e";"1322588";"Non"
"Victor Hugo";"2";"";"Souterraine";"Paris 16e";"2801041";"Non"
"Villejuif - Gustave Roussy";"14";"";"Souterraine";"Hors intra-muros (Villejuif)";"0";"Non"
"Villejuif - Léo Lagrange";"7";"";"Souterraine";"Hors intra-muros (Villejuif)";"1952627";"Non"
"Villejuif - Louis Aragon";"7";"Tram T7";"Souterraine";"Hors intra-muros (Villejuif)";"5218070";"Non"
"Villejuif - Paul Vaillant-Couturier";"7";"";"Souterraine";"Hors intra-muros (Villejuif)";"1764879";"Non"
"Villiers";"2, 3";"";"Souterraine";"Paris 8e, Paris 17e";"3586376";"Non"
"Volontaires";"12";"";"Souterraine";"Paris 15e";"1734848";"Non"
"Voltaire";"9";"";"Souterraine";"Paris 11e";"3454006";"Non"
"Wagram";"3";"";"Souterraine";"Paris 17e";"1508617";"Non"
