Station;Lignes de métro;RER / Tram;Situation;Arrondissement / Localisation;Fréquentation annuelle;Dans le top 20 fréquenté
"Cluny - La Sorbonne";"10";"RER B, RER C";"Souterraine";"Paris 5e";"1261818";"Non"
"Colonel Fabien";"2";"";"Souterraine";"Paris 10e, Paris 19e";"3043606";"Non"
"Commerce";"8";"";"Souterraine";"Paris 15e";"2212666";"Non"
"Concorde";"1, 8, 12";"";"Souterraine";"Paris 1er, Paris 8e";"3401219";"Non"
"Convention";"12";"";"Souterraine";"Paris 15e";"3734750";"Non"
"Corentin Cariou";"7";"";"Souterraine";"Paris 19e";"1697076";"Non"
"Corentin Celton";"12";"";"Souterraine";"Hors intra-muros (Issy-les-Moulineaux)";"2504682";"Non"
"Corvisart";"6";"";"Aérienne";"Paris 13e";"1570331";"Non"
"Coteaux Beauclair";"11";"";"Aérienne";"Hors intra-muros (Rosny-sous-Bois, Noisy-le-Sec)";"0";"Non"
"Cour Saint-Émilion";"14";"";"Souterraine";"Paris 12e";"2985122";"Non"
"Courcelles";"2";"";"Souterraine";"Paris 8e, Paris 17e";"1583429";"Non"
"Couronnes";"2";"";"Souterraine";"Paris 11e, Paris 20e";"2151515";"Non"
"Créteil - L'Échat";"8";"";"Fleur de sol";"Hors intra-muros (Créteil)";"1660120";"Non"
"Créteil - Préfecture";"8";"";"Fleur de sol";"Hors intra-muros (Créteil)";"3330602";"Non"
"Créteil - Université";"8";"";"Fleur de sol";"Hors intra-muros (Créteil)";"2496595";"Non"
"Crimée";"7";"";"Souterraine";"Paris 19e";"3543952";"Non"
"Croix de Chavaux";"9";"";"Souterraine";"Hors intra-muros (Montreuil)";"3729545";"Non"
"Danube";"7bis";"";"Souterraine";"Paris 19e";"400157";"Non"
"Daumesnil";"6, 8";"";"Souterraine";"Paris 12e";"3634023";"Non"
"Denfert-Rochereau";"4, 6";"RER B";"Souterraine";"Paris 14e";"2543959";"Non"
"Dugommier";"6";"";"Souterraine";"Paris 12e";"1725412";"Non"
"Dupleix";"6";"";"Aérienne";"Paris 15e";"2028963";"Non"
"Duroc";"10, 13";"";"Souterraine";"Paris 6e, Paris 7e, Paris 15e";"2645064";"Non"
"École Militaire";"8";"";"Souterraine";"Paris 7e";"2805976";"Non"
"École vétérinaire de Maisons-Alfort";"8";"";"Souterraine";"Hors intra-muros (Maisons-Alfort)";"2269487";"Non"
"Edgar Quinet";"6";"";"Souterraine";"Paris 14e";"1349178";"Non"
"Église d'Auteuil";"10";"";"Souterraine";"Paris 16e";"124941";"Non"
"Église de Pantin";"5";"";"Souterraine";"Hors intra-muros (Pantin)";"2832467";"Non"
"Esplanade de la Défense";"1";"";"Souterraine";"Hors intra-muros (Courbevoie,Puteaux)";"4708183";"Non"
"Étienne Marcel";"4";"";"Souterraine";"Paris 1er, Paris 2e";"1705639";"Non"
"Europe";"3";"";"Souterraine";"Paris 8e";"1106459";"Non"
"Exelmans";"9";"";"Souterraine";"Paris 16e";"1607223";"Non"
"Faidherbe - Chaligny";"8";"";"Souterraine";"Paris 11e, Paris 12e";"2190416";"Non"
"Falguière";"12";"";"Souterraine";"Paris 15e";"650291";"Non"
"Félix Faure";"8";"";"Souterraine";"Paris 15e";"1161978";"Non"
"Filles du Calvaire";"8";"";"Souterraine";"Paris 3e, Paris 11e";"1093673";"Non"
"Fort d'Aubervilliers";"7";"";"Souterraine";"Hors intra-muros (Aubervilliers)";"3103518";"Non"
"Franklin D. Roosevelt";"1, 9";"";"Souterraine";"Paris 8e";"6173830";"Oui"
"Front populaire";"12";"";"Souterraine";"Hors intra-muros (Aubervilliers, Saint-Denis)";"1948542";"Non"
"Gabriel Péri";"13";"";"Souterraine";"Hors intra-muros (Asnières-sur-Seine,Gennevilliers)";"3790573";"Non"
"Gaîté";"13";"";"Souterraine";"Paris 14e";"1644148";"Non"
"Gallieni";"3";"";"Souterraine";"Hors intra-muros (Bagnolet)";"3899195";"Non"
"Gambetta";"3, 3bis";"";"Souterraine";"Paris 20e";"4796724";"Non"
"Gare d'Austerlitz";"5, 10";"RER C";": Aérienne : Souterraine";"Paris 5e, Paris 13e";"6318543";"Oui"
"Gare de l'Est";"4, 5, 7";"";"Souterraine";"Paris 10e";"15538471";"Oui"
"Gare de Lyon";"1, 14";"RER A, RER D";"Souterraine";"Paris 12e";"28640475";"Oui"
"Gare du Nord";"4, 5";"RER B, RER D, RER E";"Souterraine";"Paris 10e";"34503097";"Oui"
"Garibaldi";"13";"";"Souterraine";"Hors intra-muros (Saint-Ouen-sur-Seine)";"1965002";"Non"
"George V";"1";"";"Souterraine";"Paris 8e";"3842260";"Non"
"Glacière";"6";"";"Aérienne";"Paris 13e";"3005750";"Non"
"Goncourt";"11";"";"Souterraine";"Paris 10e, Paris 11e";"2199170";"Non"
"Grands Boulevards";"8, 9";"";"Souterraine";"Paris 2e, Paris 9e";"3737316";"Non"
"Guy Môquet";"13";"";"Souterraine";"Paris 17e, Paris 18e";"2205313";"Non"
"Havre - Caumartin";"3, 9";"RER A, RER E";"Souterraine";"Paris 9e";"5894982";"Non"
"Hoche";"5";"";"Souterraine";"Hors intra-muros (Pantin)";"3928404";"Non"
"Hôpital Bicêtre";"14";"";"Souterraine";"Hors intra-muros (Le Kremlin-Bicêtre, Gentilly)";"0";"Non"
"Hôtel de Ville";"1, 11";"";"Souterraine";"Paris 4e";"7251729";"Oui"
"Iéna";"9";"";"Souterraine";"Paris 16e";"1646925";"Non"
"Invalides";"8, 13";"RER C";"Souterraine";"Paris 7e";"3482080";"Non"
"Jacques Bonsergent";"5";"";"Souterraine";"Paris 10e";"1743989";"Non"
"Jasmin";"9";"";"Souterraine";"Paris 16e";"1418238";"Non"
"Jaurès";"2, 5, 7bis";"";": Aérienne  : Souterraine";"Paris 10e, Paris 19e";"4055461";"Non"
"Javel - André Citroën";"10";"RER C";"Souterraine";"Paris 15e";"1589561";"Non"
"Jourdain";"11";"";"Souterraine";"Paris 19e, Paris 20e";"1881321";"Non"
"Jules Joffrin";"12";"";"Souterraine";"Paris 18e";"2854819";"Non"
"Jussieu";"7, 10";"";"Souterraine";"Paris 5e";"2889642";"Non"
"Kléber";"6";"";"Souterraine";"Paris 16e";"724215";"Non"
"La Chapelle";"2";"RER B, RER D, RER E";"Aérienne";"Paris 10e, Paris 18e";"4855531";"Non"
"La Courneuve - 8 Mai 1945";"7";"Tram T1";"Souterraine";"Hors intra-muros (La Courneuve)";"4924444";"Non"
"La Défense";"1";"RER A, RER E, Tram T2";"Souterraine";"Hors intra-muros (Puteaux)";"9256802";"Oui"
"La Dhuys";"11";"";"Souterraine";"Hors intra-muros (Montreuil, Rosny-sous-Bois)";"0";"Non"
"La Fourche";"13";"";"Souterraine";"Paris 17e, Paris 18e";"1829271";"Non"
"La Motte-Picquet - Grenelle";"6, 8, 10";"";": Aérienne,  : Souterraine";"Paris 15e";"5117708";"Non"
"La Muette";"9";"RER C";"Souterraine";"Paris 16e";"3010370";"Non"
"La Tour-Maubourg";"8";"";"Souterraine";"Paris 7e";"1361723";"Non"
"Lamarck - Caulaincourt";"12";"";"Souterraine";"Paris 18e";"1875717";"Non"
"Laumière";"5";"";"Souterraine";"Paris 19e";"3258568";"Non"
"Le Kremlin-Bicêtre";"7";"";"Souterraine";"Hors intra-muros (Le Kremlin-Bicêtre)";"2925325";"Non"
"Le Peletier";"7";"";"Souterraine";"Paris 9e";"1677832";"Non"
"Ledru-Rollin";"8";"";"Souterraine";"Paris 11e, Paris 12e";"2570283";"Non"
"Les Agnettes";"13";"";"Souterraine";"Hors intra-muros (Asnières-sur-Seine,Gennevilliers)";"1890356";"Non"
"Les Courtilles";"13";"Tram T1";"Souterraine";"Hors intra-muros (Asnières-sur-Seine,Gennevilliers)";"2802689";"Non"
"Les Gobelins";"7";"";"Souterraine";"Paris 13e";"2365942";"Non"
"Les Halles";"4";"RER A, RER B, RER D";"Souterraine";"Paris 1er";"10623876";"Oui"
"Les Sablons";"1";"";"Souterraine";"Hors intra-muros (Neuilly-sur-Seine)";"3954920";"Non"
"L'Haÿ-les-Roses";"14";"";"Souterraine";"Hors intra-muros (L'Haÿ-les-Roses, Chevilly-Larue)";"0";"Non"
"Liberté";"8";"";"Souterraine";"Hors intra-muros (Charenton-le-Pont)";"1704609";"Non"
"Liège";"13";"";"Souterraine";"Paris 8e, Paris 9e";"1143956";"Non"
"Louis Blanc";"7, 7bis";"";"Souterraine";"Paris 10e";"1548029";"Non"
"Louise Michel";"3";"";"Souterraine";"Hors intra-muros (Levallois-Perret)";"2319185";"Non"
"Lourmel";"8";"";"Souterraine";"Paris 15e";"1696432";"Non"
"Louvre - Rivoli";"1";"";"Souterraine";"Paris 1er";"1869612";"Non"
"Mabillon";"10";"";"Souterraine";"Paris 6e";"1195051";"Non"
"Madeleine";"8, 12, 14";"";"Souterraine";"Paris 1er, Paris 8e";"5330928";"Non"
"Mairie d'Aubervilliers";"12";"";"Souterraine";"Hors intra-muros (Aubervilliers)";"0";"Non"
"Mairie d'Issy";"12";"";"Souterraine";"Hors intra-muros (Issy-les-Moulineaux)";"2874138";"Non"
"Mairie d'Ivry";"7";"";"Souterraine";"Hors intra-muros (Ivry-sur-Seine)";"2042071";"Non"
"Mairie de Clichy";"13";"";"Souterraine";"Hors intra-muros (Clichy)";"4043071";"Non"
"Mairie de Montreuil";"9";"";"Souterraine";"Hors intra-muros (Montreuil)";"6158487";"Oui"
"Mairie de Montrouge";"4";"";"Souterraine";"Hors intra-muros (Montrouge)";"4316647";"Non"
"Mairie de Saint-Ouen";"13, 14";"";"Souterraine";"Hors intra-muros (Saint-Ouen-sur-Seine)";"4830810";"Non"
"Mairie des Lilas";"11";"";"Souterraine";"Hors intra-muros (Les Lilas)";"2894622";"Non"
"Maison Blanche";"7, 14";"";"Souterraine";"Paris 13e";"1203631";"Non"
"Maisons-Alfort - Les Juilliottes";"8";"";"Souterraine";"Hors intra-muros (Maisons-Alfort)";"1297495";"Non"
"Maisons-Alfort - Stade";"8";"";"Souterraine";"Hors intra-muros (Maisons-Alfort)";"1702479";"Non"
"Malakoff - Plateau de Vanves";"13";"";"Souterraine";"Hors intra-muros (Malakoff, Vanves)";"2242320";"Non"
"Malakoff - Rue Étienne-Dolet";"13";"";"Aérienne";"Hors intra-muros (Malakoff)";"1450451";"Non"
"Malesherbes";"3";"";"Souterraine";"Paris 17e";"1427143";"Non"
"Maraîchers";"9";"";"Souterraine";"Paris 20e";"1994064";"Non"
"Marcadet - Poissonniers";"4, 12";"";"Souterraine";"Paris 18e";"3982005";"Non"
"Marcel Sembat";"9";"";"Souterraine";"Hors intra-muros (Boulogne-Billancourt)";"3874792";"Non"
"Marx Dormoy";"12";"";"Souterraine";"Paris 18e";"2425928";"Non"
"Maubert - Mutualité";"10";"";"Souterraine";"Paris 5e";"1280387";"Non"
"Ménilmontant";"2";"";"Souterraine";"Paris 11e, Paris 20e";"2847264";"Non"
"Michel Bizot";"8";"";"Souterraine";"Paris 12e";"1403416";"Non"
"Michel-Ange - Auteuil";"9, 10";"";"Souterraine";"Paris 16e";"1512050";"Non"
"Michel-Ange - Molitor";"9, 10";"";"Souterraine";"Paris 16e";"1420552";"Non"
"Mirabeau";"10";"";"Souterraine";"Paris 16e";"1001302";"Non"
"Miromesnil";"9, 13";"";"Souterraine";"Paris 8e";"3647255";"Non"
"Monceau";"2";"";"Souterraine";"Paris 8e";"1148677";"Non"
"Montgallet";"8";"";"Souterraine";"Paris 12e";"1108395";"Non"
"Montparnasse - Bienvenüe";"4, 6, 12, 13";"";"Souterraine";"Paris 6e, Paris 14e, Paris 15e";"20407224";"Oui"
"Montreuil - Hôpital";"11";"";"Souterraine";"Hors intra-muros (Montreuil, Noisy-le-Sec)";"0";"Non"
"Mouton-Duvernet";"4";"";"Souterraine";"Paris 14e";"1131403";"Non"
"Nation";"1, 2, 6, 9";"RER A";"Souterraine";"Paris 11e, Paris 12e";"6050797";"Oui"
"Nationale";"6";"";"Aérienne";"Paris 13e";"1320290";"Non"
"Notre-Dame-de-Lorette";"12";"";"Souterraine";"Paris 9e";"1893828";"Non"
"Notre-Dame-des-Champs";"12";"";"Souterraine";"Paris 6e";"1487256";"Non"
"Oberkampf";"5, 9";"";"Souterraine";"Paris 11e";"3205110";"Non"
"Odéon";"4, 10";"";"Souterraine";"Paris 6e";"3478491";"Non"
"Olympiades";"14";"";"Souterraine";"Paris 13e";"5214595";"Non"
"Opéra";"3, 7, 8";"RER A";"Souterraine";"Paris 2e, Paris 9e";"5193831";"Non"
"Ourcq";"5";"";"Souterraine";"Paris 19e";"2862337";"Non"
"Palais-Royal - Musée du Louvre";"1, 7";"";"Souterraine";"Paris 1er";"4822599";"Non"
"Parmentier";"3";"";"Souterraine";"Paris 11e";"2037234";"Non"
"Passy";"6";"";"Fleur de sol";"Paris 16e";"2080548";"Non"
"Pasteur";"6, 12";"";"Souterraine";"Paris 15e";"3026286";"Non"
"Pelleport";"3bis";"";"Souterraine";"Paris 20e";"229524";"Non"
"Père Lachaise";"2, 3";"";"Souterraine";"Paris 11e, Paris 20e";"3465307";"Non"
"Pereire";"3";"RER C";"Souterraine";"Paris 17e";"3130190";"Non"
"Pernety";"13";"";"Souterraine";"Paris 14e";"2173567";"Non"
"Philippe Auguste";"2";"";"Souterraine";"Paris 11e, Paris 20e";"1262653";"Non"
"Picpus";"6";"";"Souterraine";"Paris 12e";"931602";"Non"
"Pierre et Marie Curie";"7";"";"Souterraine";"Hors intra-muros (Ivry-sur-Seine)";"1100552";"Non"
"Pigalle";"2, 12";"";"Souterraine";"Paris 9e, Paris 18e";"3501831";"Non"
"Place d'Italie";"5, 6, 7";"";"Souterraine";"Paris 13e";"7119097";"Oui"
"Place de Clichy";"2, 13";"";"Souterraine";"Paris 9e, Paris 17e, Paris 18e";"5161932";"Non"
"Place des Fêtes";"7bis, 11";"";"Souterraine";"Paris 19e";"2318764";"Non"
"Place Monge";"7";"";"Souterraine";"Paris 5e";"1837996";"Non"
"Plaisance";"13";"";"Souterraine";"Paris 14e";"3521753";"Non"
"Pointe du Lac";"8";"";"Fleur de sol";"Hors intra-muros (Créteil)";"2114438";"Non"
"Poissonnière";"7";"";"Souterraine";"Paris 9e, Paris 10e";"2306725";"Non"
"Pont de Levallois - Bécon";"3";"";"Souterraine";"Hors intra-muros (Levallois-Perret)";"2984777";"Non"
"Pont de Neuilly";"1";"";"Souterraine";"Hors intra-muros (Neuilly-sur-Seine)";"4809503";"Non"
"Pont de Sèvres";"9";"";"Souterraine";"Hors intra-muros (Boulogne-Billancourt)";"3430203";"Non"
"Pont Cardinet";"14";"";"Souterraine";"Paris 17e";"4168538";"Non"
"Pont Marie";"7";"";"Souterraine";"Paris 4e";"1101482";"Non"
"Pont-Neuf";"7";"";"Souterraine";"Paris 1er";"1188930";"Non"
"Porte Dauphine";"2";"RER C, Tram T3b";"Souterraine";"Paris 16e";"2021656";"Non"
"Porte d'Auteuil";"10";"";"Souterraine";"Paris 16e";"375748";"Non"
"Porte de Bagnolet";"3";"Tram T3b";"Souterraine";"Paris 20e";"3085790";"Non"
"Porte de Champerret";"3";"Tram T3b";"Souterraine";"Paris 17e";"2101673";"Non"
"Porte de Charenton";"8";"Tram T3a";"Souterraine";"Paris 12e";"1529778";"Non"
"Porte de Choisy";"7";"Tram T3a, Tram T9";"Souterraine";"Paris 13e";"1592144";"Non"
"Porte de Clichy";"13, 14";"RER C, Tram T3b";"Souterraine";"Paris 17e";"5278497";"Non"
"Porte de Clignancourt";"4";"Tram T3b";"Souterraine";"Paris 18e";"5611814";"Non"
"Porte de la Chapelle";"12";"Tram T3b";"Souterraine";"Paris 18e";"1866281";"Non"
"Porte de la Villette";"7";"Tram T3b";"Souterraine";"Paris 19e";"2706288";"Non"
"Porte de Montreuil";"9";"Tram T3b";"Souterraine";"Paris 20e";"3067413";"Non"
"Porte de Pantin";"5";"Tram T3b";"Souterraine";"Paris 19e";"3374733";"Non"
"Porte de Saint-Cloud";"9";"";"Souterraine";"Paris 16e";"3485946";"Non"
"Porte de Saint-Ouen";"13";"Tram T3b";"Souterraine";"Paris 17e, Paris 18e";"2710638";"Non"
"Porte de Vanves";"13";"Tram T3a";"Souterraine";"Paris 14e";"3395358";"Non"
"Porte de Versailles";"12";"Tram T2, Tram T3a";"Souterraine";"Paris 15e";"3268157";"Non"
"Porte de Vincennes";"1";"Tram T3a, Tram T3b";"Souterraine";"Paris 12e, Paris 20e";"5446602";"Non"
"Porte des Lilas";"3bis, 11";"Tram T3b";"Souterraine";"Paris 19e, Paris 20e";"3105016";"Non"
"Porte d'Italie";"7";"Tram T3a";"Souterraine";"Paris 13e";"1507152";"Non"
"Porte d'Ivry";"7";"Tram T3a";"Souterraine";"Paris 13e";"1282199";"Non"
"Porte Dorée";"8";"Tram T3a";"Souterraine";"Paris 12e";"1918182";"Non"
